book_title,book_author,user_rating,review_text,date_read,book_url,book_id,shelves
Interior Chinatown,"Yu, Charles",3,None,"Jun 08, 2025",https://www.goodreads.com/book/show/44436221-interior-chinatown,44436221,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Road,"McCarthy, Cormac",3,None,"May 26, 2025",https://www.goodreads.com/book/show/6288.The_Road,6288,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Upstream: Selected Essays,"Oliver, Mary",5,None,"May 18, 2025",https://www.goodreads.com/book/show/29358559-upstream,29358559,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Best We Could Do,"Bui, Thi",4,None,"May 06, 2025",https://www.goodreads.com/book/show/29936927-the-best-we-could-do,29936927,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
No-No Boy (Classics of Asian American Literature),"Okada, John",4,None,"Apr 22, 2025",https://www.goodreads.com/book/show/129910.No_No_Boy,129910,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Of Mice and Men,"Steinbeck, John",4,None,"Feb 23, 2025",https://www.goodreads.com/book/show/890.Of_Mice_and_Men,890,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
East of Eden,"Steinbeck, John",5,None,"Feb 19, 2025




Jul 10, 2023",https://www.goodreads.com/book/show/4406.East_of_Eden,4406,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
White Nights,"Dostoevsky, Fyodor",4,None,"Jan 15, 2025",https://www.goodreads.com/book/show/1772910.White_Nights,1772910,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Winter of Our Discontent,"Steinbeck, John",4,None,"Jan 12, 2025",https://www.goodreads.com/book/show/4796.The_Winter_of_Our_Discontent,4796,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
No Longer Human,"Dazai, Osamu",5,I don't really have much to say but damn bro this book was something else I don't really have much to say but damn bro this book was something else ...more,"Dec 22, 2024




Feb 18, 2022",https://www.goodreads.com/book/show/194746.No_Longer_Human,194746,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Sun Also Rises,"Hemingway, Ernest",3,None,"Feb 06, 2024",https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises,3876,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Sula,"Morrison, Toni",5,None,"Jan 23, 2024",https://www.goodreads.com/book/show/11346.Sula,11346,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Small Worlds,"Nelson, Caleb Azumah",4,None,"Jan 19, 2024",https://www.goodreads.com/book/show/59634120-small-worlds,59634120,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Stay True,"Hsu, Hua",5,None,"Jan 04, 2024",https://www.goodreads.com/book/show/59900070-stay-true,59900070,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Colorless Tsukuru Tazaki and His Years of Pilgrimage,"Murakami, Haruki",2,None,"Jan 03, 2024




not set",https://www.goodreads.com/book/show/41022133-colorless-tsukuru-tazaki-and-his-years-of-pilgrimage,41022133,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
A Little Luck,"Piñeiro, Claudia",5,wow,"Dec 28, 2023",https://www.goodreads.com/book/show/75582270-a-little-luck,75582270,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Grief Is the Thing with Feathers,"Porter, Max",5,None,"Dec 27, 2023",https://www.goodreads.com/book/show/25334576-grief-is-the-thing-with-feathers,25334576,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Small Things Like These,"Keegan, Claire",5,None,"Dec 27, 2023",https://www.goodreads.com/book/show/58662236-small-things-like-these,58662236,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Fear and Loathing in Las Vegas,"Thompson, Hunter S.",4,None,"Nov 26, 2023",https://www.goodreads.com/book/show/7747.Fear_and_Loathing_in_Las_Vegas,7747,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Flowers for Algernon,"Keyes, Daniel",4,None,"Nov 24, 2023",https://www.goodreads.com/book/show/18373.Flowers_for_Algernon,18373,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Outsiders,"Hinton, S.E.",4,None,"Jul 11, 2023




not set




not set",https://www.goodreads.com/book/show/231804.The_Outsiders,231804,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Stranger,"Camus, Albert",4,None,"Jan 23, 2023",https://www.goodreads.com/book/show/49552.The_Stranger,49552,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Norwegian Wood,"Murakami, Haruki",4,None,Jan 2023,https://www.goodreads.com/book/show/11297.Norwegian_Wood,11297,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Normal People,"Rooney, Sally",5,None,"Dec 28, 2022




Apr 2021",https://www.goodreads.com/book/show/41057294-normal-people,41057294,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Leonard and Hungry Paul,"Hession, Ronan",5,None,"Dec 26, 2022",https://www.goodreads.com/book/show/48595115-leonard-and-hungry-paul,48595115,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Picture of Dorian Gray,"Wilde, Oscar",3,None,"Dec 24, 2022",https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,5297,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Seven Husbands of Evelyn Hugo,"Reid, Taylor Jenkins",5,None,"Dec 22, 2022",https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo,32620332,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,"Clear, James",4,None,"Dec 17, 2022",https://www.goodreads.com/book/show/40121378-atomic-habits,40121378,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Old Man and the Sea,"Hemingway, Ernest",4,None,"Dec 16, 2022




not set",https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,2165,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Wind-Up Bird Chronicle,"Murakami, Haruki",3,None,"Nov 28, 2022",https://www.goodreads.com/book/show/11275.The_Wind_Up_Bird_Chronicle,11275,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Breath: The New Science of a Lost Art,"Nestor, James",4,Pretty interesting but didn’t really always offer the most concrete evidence and some of the stuff didn’t have a super scientific basis,"Aug 06, 2022",https://www.goodreads.com/book/show/48890486-breath,48890486,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Memory Police,"Ogawa, Yōko",4,Beautiful and a bit ominous. Not a lot of story plot but still engaging. Memories are kind of important ig,"Aug 03, 2022",https://www.goodreads.com/book/show/37004370-the-memory-police,37004370,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Sputnik Sweetheart,"Murakami, Haruki",3,"I really liked the first half of this book and the characters, but it didn’t really go anywhere. There were some interesting passages but in terms of I really liked the first half of this book and the characters, but it didn’t really go anywhere. There were some interesting passages but in terms of plot nothing really seems meaningful imo. Still starting a murakami binge tho ...more","Jul 29, 2022",https://www.goodreads.com/book/show/9557.Sputnik_Sweetheart,9557,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Key & Diary of a Mad Old Man,"Tanizaki, Jun'ichirō",2,"I just read the key, but bro that it made me so uncomfortable I almost stopped twice. This author must've been one of the horniest, weirdest dudes or I just read the key, but bro that it made me so uncomfortable I almost stopped twice. This author must've been one of the horniest, weirdest dudes or he just happens to be really good at writing from fucked up perspectives. The writing style was actually pretty solid and the mini-twist type thing at the end was kind of interesting but I genuinely wouldn't recommend this to anyone. ...more","Jul 11, 2022",https://www.goodreads.com/book/show/34461.The_Key_Diary_of_a_Mad_Old_Man,34461,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Never Let Me Go,"Ishiguro, Kazuo",3,"Maybe my attention span is still aggressively below average, but I found this book ridiculously slow. The conclusion was definitely super interesting, Maybe my attention span is still aggressively below average, but I found this book ridiculously slow. The conclusion was definitely super interesting, but I found the characters and their experiences fairly boring ngl. ...more","Jul 04, 2022",https://www.goodreads.com/book/show/6334.Never_Let_Me_Go,6334,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Brave New World,"Huxley, Aldous",2,Eh...... Like I get the message or whatever but the overall story was aggressively mid. Only redeeming quality was like a little bit of the end but ev Eh...... Like I get the message or whatever but the overall story was aggressively mid. Only redeeming quality was like a little bit of the end but even that was just ok. I don't get the hype at all. ...more,"Jun 15, 2022",https://www.goodreads.com/book/show/5129.Brave_New_World,5129,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)","Kawaguchi, Toshikazu",4,None,May 2022,https://www.goodreads.com/book/show/44421460-before-the-coffee-gets-cold,44421460,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Bell Jar,"Plath, Sylvia",4,W book,"Jan 10, 2022",https://www.goodreads.com/book/show/6514.The_Bell_Jar,6514,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
"South of the Border, West of the Sun","Murakami, Haruki",4,None,"Jan 04, 2022",https://www.goodreads.com/book/show/17799.South_of_the_Border_West_of_the_Sun,17799,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Open Water,"Nelson, Caleb Azumah",4,Pretty powerful but sometimes unnecessarily drawn out,"Jan 02, 2022",https://www.goodreads.com/book/show/53414230-open-water,53414230,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Setting Sun,"Dazai, Osamu",4,Shit was sad asf,"Dec 27, 2021",https://www.goodreads.com/book/show/194740.The_Setting_Sun,194740,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Alchemist,"Coelho, Paulo",4,None,"Dec 27, 2021",https://www.goodreads.com/book/show/18144590-the-alchemist,18144590,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
On Earth We're Briefly Gorgeous,"Vuong, Ocean",4,None,"Dec 15, 2021




not set",https://www.goodreads.com/book/show/41880609-on-earth-we-re-briefly-gorgeous,41880609,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Crying in H Mart,"Zauner, Michelle",3,None,"Jun 29, 2021",https://www.goodreads.com/book/show/54814676-crying-in-h-mart,54814676,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Hero Code: Lessons Learned from Lives Well Lived,"McRaven, William H.",5,None,"Jun 14, 2021",https://www.goodreads.com/book/show/54817547-the-hero-code,54817547,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Kafka on the Shore,"Murakami, Haruki",4,None,"Jun 02, 2021",https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore,4929,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Song of Achilles,"Miller, Madeline",4,None,"May 30, 2021",https://www.goodreads.com/book/show/11250317-the-song-of-achilles,11250317,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Nickel Boys,"Whitehead, Colson",5,None,"Mar 28, 2021",https://www.goodreads.com/book/show/42270835-the-nickel-boys,42270835,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Where the Crawdads Sing,"Owens, Delia",4,None,"Mar 25, 2021",https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing,36809135,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Caste: The Origins of Our Discontents,"Wilkerson, Isabel",4,None,"Mar 21, 2021",https://www.goodreads.com/book/show/51152447-caste,51152447,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Orphan Master's Son,"Johnson, Adam",3,None,"Feb 16, 2021",https://www.goodreads.com/book/show/11529868-the-orphan-master-s-son,11529868,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
A Little Life,"Yanagihara, Hanya",4,None,"Dec 11, 2020",https://www.goodreads.com/book/show/22822858-a-little-life,22822858,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Circe,"Miller, Madeline",4,None,Nov 2020,https://www.goodreads.com/book/show/35959740-circe,35959740,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Things They Carried,"O’Brien, Tim",,None,Oct 2020,https://www.goodreads.com/book/show/133518.The_Things_They_Carried,133518,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)","Collins, Suzanne",3,None,"Jun 15, 2020",https://www.goodreads.com/book/show/51901147-the-ballad-of-songbirds-and-snakes,51901147,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
"The Hunger Games (The Hunger Games, #1)","Collins, Suzanne",4,None,"Jun 06, 2020",https://www.goodreads.com/book/show/2767052-the-hunger-games,2767052,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Defending Jacob,William Landay,4,None,"May 13, 2020",https://www.goodreads.com/book/show/11367726-defending-jacob,11367726,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
